city,state,population
Grandview ,MO,"24,033"
Granite City ,IL,"30,703"
Grants Pass ,OR,"33,217"
Grapevine ,TX,"50,471"
Great Falls ,MT,"59,251"
Greeley ,CO,"91,492"
Green ,OH,"23,404"
Green Bay ,WI,"101,025"
Greenacres ,FL,"32,174"
Greenfield ,WI,"36,075"
Greensboro ,NC,"250,642"
Greenville ,NC,"79,629"
Greenville ,SC,"59,988"
Greenwood ,IN,"47,720"
Greer ,SC,"24,557"
Gresham ,OR,"101,221"
Griffin ,GA,"23,719"
Grove City ,OH,"33,829"
Gulfport ,MS,"70,055"
Gurnee,IL,"30,608"
Hackensack ,NJ,"42,804"
Hagerstown ,MD,"39,728"
Hallandale Beach ,FL,"38,683"
Haltom City ,TX,"40,181"
Hamilton ,OH,"62,477"
Hammond ,IN,"76,732"
Hampton ,VA,"145,494"
Hanford ,CA,"50,103"
Hanover Park,IL,"36,777"
Harker Heights ,TX,"25,417"
Harlingen ,TX,"64,843"
Harrisburg ,PA,"47,148"
Harrison,NY,"26,665"
Harrisonburg ,VA,"44,015"
Hartford ,CT,"124,062"
Harvey ,IL,"28,056"
Hastings ,NE,"25,394"
Hattiesburg ,MS,"51,993"
Haverhill ,MA,"61,275"
Hawthorne ,CA,"84,305"
Hayward ,CA,"142,061"
Hazelwood ,MO,"25,345"
Helena ,MT,"29,351"
Hemet ,CA,"70,991"
Hempstead,NY,"53,915"
Henderson ,NV,"252,064"
Hendersonville ,TN,"47,725"
Hercules ,CA,"24,484"
Hesperia ,CA,"85,883"
Hialeah ,FL,"210,542"
Hickory ,NC,"41,305"
High Point ,NC,"101,835"
Highland ,CA,"51,096"
Highland Park ,IL,"31,449"
Hilliard ,OH,"27,901"
Hillsboro ,OR,"93,638"
Hilton Head Island,SC,"33,913"
Hinesville ,GA,"30,152"
Hobart ,IN,"27,891"
Hobbs ,NM,"30,476"
Hoboken ,NJ,"40,577"
Hoffman Estates,IL,"53,641"
Holladay ,UT,"25,676"
Holland ,MI,"34,076"
Hollister ,CA,"34,877"
Hollywood ,FL,"141,740"
Holyoke ,MA,"39,947"
Homer Glen,IL,"26,111"
Homestead ,FL,"57,936"
Homewood ,AL,"23,840"
Honolulu,HI,"374,676"
Hoover ,AL,"71,020"
Hopewell ,VA,"23,142"
Hopkinsville ,KY,"32,076"
Horn Lake ,MS,"24,669"
Hot Springs ,AR,"39,467"
Houma ,LA,"32,512"
Houston ,TX,"2,242,193"
Huber Heights ,OH,"37,148"
Hudson ,OH,"23,037"
Huntersville,NC,"44,054"
Huntington ,WV,"49,185"
Huntington Beach ,CA,"192,620"
Huntington Park ,CA,"60,898"
Huntsville ,AL,"176,645"
Hurst ,TX,"38,550"
Hutchinson ,KS,"40,889"
Idaho Falls ,ID,"54,334"
Imperial Beach ,CA,"26,543"
Independence ,MO,"110,440"
Indianapolis,IN,"798,382"
Indio ,CA,"84,443"
Inglewood ,CA,"112,714"
Inkster ,MI,"26,621"
Inver Grove Heights ,MN,"33,383"
Iowa City ,IA,"67,831"
Irvine ,CA,"207,500"
Irving ,TX,"201,358"
Issaquah ,WA,"24,057"
Ithaca ,NY,"29,763"
Jackson ,MS,"173,861"
Jacksonville ,FL,"807,815"
Jamestown ,NY,"29,463"
Janesville ,WI,"62,516"
Jefferson City ,MO,"40,771"
Jeffersontown ,KY,"26,226"
Jeffersonville ,IN,"30,479"
Jersey City ,NJ,"241,114"
Johns Creek ,GA,"59,431"
Johnson City ,TN,"61,990"
Joliet ,IL,"146,125"
Jonesboro ,AR,"63,960"
Joplin ,MO,"49,775"
Juneau,AK,"30,988"
Jupiter,FL,"48,879"
Kalamazoo ,MI,"72,179"
Kankakee ,IL,"26,710"
Kannapolis ,NC,"42,521"
Kansas City ,MO,"451,572"
Kaysville ,UT,"25,820"
Kearney ,NE,"30,417"
Kearny,NJ,"36,746"
Keizer ,OR,"35,864"
Keller ,TX,"38,951"
Kenner ,LA,"66,942"
Kennesaw ,GA,"31,628"
Kennewick ,WA,"63,216"
Kenosha ,WI,"96,950"
Kent ,WA,"83,978"
Kentwood ,MI,"47,419"
Kettering ,OH,"53,708"
Killeen ,TX,"116,934"
Kingman ,AZ,"27,817"
Kingsport ,TN,"44,473"
Kingsville ,TX,"24,702"
Kirkland ,WA,"47,303"
Kirkwood ,MO,"26,760"
Kissimmee ,FL,"62,291"
Knoxville ,TN,"184,802"
Kokomo ,IN,"45,694"
Kyle ,TX,"26,103"
La Crosse ,WI,"50,902"
La Habra ,CA,"59,155"
La Mesa ,CA,"54,673"
La Mirada ,CA,"49,809"
La Porte ,TX,"34,274"
La Puente ,CA,"40,642"
La Quinta ,CA,"43,865"
La Vergne ,TN,"30,034"
La Verne ,CA,"33,623"
Lacey ,WA,"40,702"
Lafayette ,LA,"113,656"
LaGrange ,GA,"28,401"
Laguna Beach ,CA,"23,995"
Laguna Hills ,CA,"31,838"
Laguna Niguel ,CA,"64,469"
Lake Charles ,LA,"71,061"
Lake Elsinore ,CA,"50,952"
Lake Forest ,CA,"75,566"
Lake Havasu City ,AZ,"56,553"
Lake in the Hills,IL,"29,698"
Lake Jackson ,TX,"27,417"
Lake Oswego ,OR,"36,926"
Lake Worth ,FL,"35,513"
Lakeland ,FL,"93,333"
Lakeville ,MN,"54,542"
Lakewood ,CO,"140,989"
Lancaster ,CA,"145,469"
Lansing,IL,"26,672"
Lansing ,MI,"113,968"
Laramie ,WY,"27,664"
Laredo ,TX,"221,659"
Largo ,FL,"72,732"
Las Cruces ,NM,"91,865"
Las Vegas ,NV,"558,383"
Lauderdale Lakes ,FL,"31,004"
Lauderhill ,FL,"67,073"
Lawndale ,CA,"31,346"
Lawrence ,KS,"90,520"
Lawrenceville ,GA,"29,258"
Lawton ,OK,"90,091"
Layton ,UT,"65,514"
League City ,TX,"71,222"
Leander ,TX,"25,424"
Leavenworth ,KS,"34,729"
Leawood ,KS,"31,342"
Lebanon ,TN,"24,648"
Lee's Summit ,MO,"84,208"
